"Variable","MIP","Avg Beta","Lower CI (95%)","Upper CI (95%)","Avg Nonzero Beta"
"gender",0.0075,8e-04,0,0,0.1092
"age",0.0058,-7e-04,0,0,-0.1202
"yearsmarried",0.0899,0.0272,0,0.2855,0.302
"children",0.0955,0.0268,0,0.2676,0.2804
"religiousness",0.4024,-0.1332,-0.451,0,-0.3309
"education",0.0041,4e-04,0,0,0.1011
"occupation",0.0063,6e-04,0,0,0.0986
"rating",0.9993,-0.5553,-0.7484,-0.3675,-0.5557
